recno,count,streetname,xL,yL,pumpname,xLp,yLp
1,3,Marshall St,-0.137812582,51.51341381,Broad St,-0.136589075,51.51330218
2,2,Marshall St,-0.137805572,51.51335812,Broad St,-0.136589075,51.51330218
3,1,Marshall St,-0.137759034,51.51329197,Broad St,-0.136589075,51.51330218
4,1,Marshall St,-0.137728247,51.51324151,Broad St,-0.136589075,51.51330218
5,4,Marshall St,-0.137661165,51.51318953,Broad St,-0.136589075,51.51330218
6,2,Broad St,-0.137476843,51.51317339,Broad St,-0.136589075,51.51330218
7,2,South Row,-0.138095733,51.51332336,Broad St,-0.136589075,51.51330218
8,2,Marshall St,-0.138008695,51.51329686,Broad St,-0.136589075,51.51330218
9,3,South Row,-0.138183431,51.51327304,Carnaby St,-0.139529412,51.51382806
10,2,South Row,-0.138159472,51.51340875,Carnaby St,-0.139529412,51.51382806
11,2,South Row,-0.13825958,51.51337792,Carnaby St,-0.139529412,51.51382806
12,1,West St,-0.138472008,51.51344595,Carnaby St,-0.139529412,51.51382806
13,3,Marlborough Row,-0.138389774,51.51317404,Carnaby St,-0.139529412,51.51382806
14,1,Marlborough Row,-0.138302256,51.51312859,Carnaby St,-0.139529412,51.51382806
15,4,Marlborough Row,-0.138301324,51.51307458,Carnaby St,-0.139529412,51.51382806
16,1,Cross St,-0.13856234,51.51322559,Carnaby St,-0.139529412,51.51382806
17,1,Cross St,-0.138585168,51.5131236,Carnaby St,-0.139529412,51.51382806
18,1,Marshall St,-0.137882105,51.51315047,Broad St,-0.136589075,51.51330218
19,4,Marshall St,-0.137863185,51.51307341,Broad St,-0.136589075,51.51330218
20,3,Marshall St,-0.137775453,51.51301709,Broad St,-0.136589075,51.51330218
21,2,Marlborough Court,-0.138658804,51.51338947,Carnaby St,-0.139529412,51.51382806
22,1,West St,-0.138730115,51.51355123,Carnaby St,-0.139529412,51.51382806
23,2,Carnaby St,-0.138924751,51.51337756,Carnaby St,-0.139529412,51.51382806
24,2,Marlborough Court,-0.138741937,51.51334975,Carnaby St,-0.139529412,51.51382806
25,1,West St,-0.138675076,51.51363822,Carnaby St,-0.139529412,51.51382806
26,1,West St,-0.138730743,51.5136902,Carnaby St,-0.139529412,51.51382806
27,3,West St,-0.13872236,51.51372825,Carnaby St,-0.139529412,51.51382806
28,1,West St,-0.13882215,51.51363722,Carnaby St,-0.139529412,51.51382806
29,1,Carnaby St,-0.139125862,51.51357125,Carnaby St,-0.139529412,51.51382806
30,1,Carnaby St,-0.139211291,51.51364057,Carnaby St,-0.139529412,51.51382806
31,1,Carnaby St,-0.139241218,51.51345834,Carnaby St,-0.139529412,51.51382806
32,2,Tyler St,-0.139505914,51.51353043,Carnaby St,-0.139529412,51.51382806
33,2,Tyler St,-0.139596468,51.51347835,Carnaby St,-0.139529412,51.51382806
34,1,King St,-0.139996556,51.5132943,Carnaby St,-0.139529412,51.51382806
35,1,Carnaby St,-0.139007738,51.51325061,Carnaby St,-0.139529412,51.51382806
36,1,King St,-0.139580909,51.51297756,Carnaby St,-0.139529412,51.51382806
37,1,Cross St,-0.139244852,51.51291355,Carnaby St,-0.139529412,51.51382806
38,2,Cross St,-0.13918763,51.51283205,Carnaby St,-0.139529412,51.51382806
39,8,Cross St,-0.139063924,51.51287452,Carnaby St,-0.139529412,51.51382806
40,2,Cross St,-0.138918015,51.51295313,Carnaby St,-0.139529412,51.51382806
41,1,Cross St,-0.139129171,51.51297692,Carnaby St,-0.139529412,51.51382806
42,1,Carnaby St,-0.138314103,51.51278469,Warwick St,-0.138141407,51.51124575
43,1,Carnaby St,-0.138577307,51.51283176,Carnaby St,-0.139529412,51.51382806
44,1,Carnaby St,-0.137979069,51.51247926,Warwick St,-0.138141407,51.51124575
45,1,Carnaby St,-0.137930203,51.5124261,Warwick St,-0.138141407,51.51124575
46,4,Carnaby St,-0.137854484,51.51237911,Warwick St,-0.138141407,51.51124575
47,1,Carnaby St,-0.1379948,51.51234676,Warwick St,-0.138141407,51.51124575
48,1,Carnaby St,-0.138123522,51.51244792,Warwick St,-0.138141407,51.51124575
49,1,Silver St,-0.137749116,51.51234132,Warwick St,-0.138141407,51.51124575
50,1,Silver St,-0.137587284,51.51240907,Warwick St,-0.138141407,51.51124575
51,4,Silver St,-0.137511141,51.51244749,Broad St,-0.136589075,51.51330218
52,1,Silver St,-0.137559815,51.51232425,Warwick St,-0.138141407,51.51124575
53,1,Upper James St,-0.137402501,51.51229373,Warwick St,-0.138141407,51.51124575
54,1,Upper James St,-0.137299601,51.51233222,Broad St,-0.136589075,51.51330218
55,1,Upper James St,-0.13723694,51.51228854,Broad St,-0.136589075,51.51330218
56,1,Bridle St,-0.136938512,51.51249122,Broad St,-0.136589075,51.51330218
57,2,Silver St,-0.137117298,51.51260685,Broad St,-0.136589075,51.51330218
58,1,Silver St,-0.136989213,51.51264709,Broad St,-0.136589075,51.51330218
59,1,Marshall St,-0.137614824,51.51287848,Broad St,-0.136589075,51.51330218
60,1,Marshall St,-0.137462145,51.5126968,Broad St,-0.136589075,51.51330218
61,2,Marshall St,-0.137301489,51.51272683,Broad St,-0.136589075,51.51330218
62,1,Marshall St,-0.137255981,51.51267842,Broad St,-0.136589075,51.51330218
63,1,Marshall St,-0.137213107,51.51263556,Broad St,-0.136589075,51.51330218
64,2,Marshall St,-0.137415232,51.5128582,Broad St,-0.136589075,51.51330218
65,2,Broad St,-0.137446054,51.51299609,Broad St,-0.136589075,51.51330218
66,1,Broad St,-0.137371929,51.51302727,Broad St,-0.136589075,51.51330218
67,2,Broad St,-0.137309973,51.51304818,Broad St,-0.136589075,51.51330218
68,3,Broad St,-0.137216939,51.51306193,Broad St,-0.136589075,51.51330218
69,1,Broad St,-0.137000577,51.51313796,Broad St,-0.136589075,51.51330218
70,4,Broad St,-0.136878836,51.51316283,Broad St,-0.136589075,51.51330218
71,15,Broad St,-0.136758041,51.51319539,Broad St,-0.136589075,51.51330218
72,3,Broad St,-0.136702041,51.51321799,Broad St,-0.136589075,51.51330218
73,4,Broad St,-0.13661629,51.51323732,Broad St,-0.136589075,51.51330218
74,5,Cambridge St,-0.136453712,51.51310406,Broad St,-0.136589075,51.51330218
75,2,Cambridge St,-0.136271076,51.51292368,Broad St,-0.136589075,51.51330218
76,1,Silver St,-0.136343426,51.51287212,Broad St,-0.136589075,51.51330218
77,2,Silver St,-0.136443092,51.51284455,Broad St,-0.136589075,51.51330218
78,1,Silver St,-0.136519358,51.51281035,Broad St,-0.136589075,51.51330218
79,1,Silver St,-0.136613239,51.51277764,Broad St,-0.136589075,51.51330218
80,1,Silver St,-0.136755826,51.51272927,Broad St,-0.136589075,51.51330218
81,1,Silver St,-0.136892516,51.51268341,Broad St,-0.136589075,51.51330218
82,1,Silver St,-0.136266043,51.51280779,Broad St,-0.136589075,51.51330218
83,1,Great Pulteney St,-0.136555198,51.512648,Broad St,-0.136589075,51.51330218
84,1,Great Pulteney St,-0.136509709,51.51257971,Broad St,-0.136589075,51.51330218
85,1,Great Pulteney St,-0.136318227,51.51266273,Broad St,-0.136589075,51.51330218
86,1,Great Pulteney St,-0.13624076,51.51256493,Broad St,-0.136589075,51.51330218
87,1,Great Pulteney St,-0.136376496,51.51244072,Broad St,-0.136589075,51.51330218
88,1,Great Pulteney St,-0.136330383,51.51239256,Broad St,-0.136589075,51.51330218
89,1,Great Pulteney St,-0.136092534,51.51241445,Bridle St,-0.135854793,51.51147816
90,1,Great Pulteney St,-0.136037209,51.51236291,Bridle St,-0.135854793,51.51147816
91,2,Great Pulteney St,-0.135997334,51.51230779,Bridle St,-0.135854793,51.51147816
92,1,Great Pulteney St,-0.135943277,51.51221438,Bridle St,-0.135854793,51.51147816
93,1,Great Pulteney St,-0.136262895,51.51229865,Bridle St,-0.135854793,51.51147816
94,4,Great Pulteney St,-0.135911539,51.51191334,Bridle St,-0.135854793,51.51147816
95,2,Great Pulteney St,-0.135752877,51.51204654,Bridle St,-0.135854793,51.51147816
96,1,Great Pulteney St,-0.135701264,51.51198423,Bridle St,-0.135854793,51.51147816
97,4,Great Pulteney St,-0.135623226,51.51193388,Bridle St,-0.135854793,51.51147816
98,4,Little Pulteney St,-0.135076904,51.51185014,Bridle St,-0.135854793,51.51147816
99,1,Little Windmill St,-0.135045677,51.51199964,Bridle St,-0.135854793,51.51147816
100,1,Little Windmill St,-0.135301099,51.5121994,Bridle St,-0.135854793,51.51147816
101,1,Little Windmill St,-0.13535123,51.51209437,Bridle St,-0.135854793,51.51147816
102,1,Little Windmill St,-0.135414147,51.51214488,Bridle St,-0.135854793,51.51147816
103,2,Little Windmill St,-0.135649928,51.51251527,Bridle St,-0.135854793,51.51147816
104,1,Little Windmill St,-0.135819229,51.51250451,Bridle St,-0.135854793,51.51147816
105,2,Little Windmill St,-0.135918181,51.51259377,Broad St,-0.136589075,51.51330218
106,3,Little Windmill St,-0.136004004,51.51264897,Broad St,-0.136589075,51.51330218
107,1,Little Windmill St,-0.136046911,51.51271623,Broad St,-0.136589075,51.51330218
108,4,Little Windmill St,-0.136113794,51.51275839,Broad St,-0.136589075,51.51330218
109,1,Little Windmill St,-0.135956343,51.51281466,Broad St,-0.136589075,51.51330218
110,1,Little Windmill St,-0.136029648,51.51288139,Broad St,-0.136589075,51.51330218
111,7,Husband St,-0.135225417,51.51268652,Bridle St,-0.135854793,51.51147816
112,3,Husband St,-0.135024636,51.51276174,Bridle St,-0.135854793,51.51147816
113,8,Pulteney Court,-0.134608048,51.5125007,Upper Rupert St,-0.133518304,51.5120734
114,1,Little Pulteney St,-0.134462893,51.51214454,Upper Rupert St,-0.133518304,51.5120734
115,1,William and Mary Yard,-0.1348457,51.51215349,Bridle St,-0.135854793,51.51147816
116,5,Hopkins St,-0.134947896,51.51310266,Broad St,-0.136589075,51.51330218
117,8,Berwick St,-0.134287843,51.51303527,Upper Rupert St,-0.133518304,51.5120734
118,2,Berwick St,-0.134421501,51.51314328,Upper Rupert St,-0.133518304,51.5120734
119,1,Berwick St,-0.134385912,51.51307705,Upper Rupert St,-0.133518304,51.5120734
120,1,Berwick St,-0.134498848,51.51321665,Upper Rupert St,-0.133518304,51.5120734
121,2,Berwick St,-0.134543462,51.51328,Upper Rupert St,-0.133518304,51.5120734
122,1,Berwick St,-0.134618822,51.51335204,Upper Rupert St,-0.133518304,51.5120734
123,2,Berwick St,-0.134656237,51.51340791,Upper Rupert St,-0.133518304,51.5120734
124,2,Alwick St,-0.135133733,51.51342265,Broad St,-0.136589075,51.51330218
125,3,Berwick St,-0.134858762,51.51338364,Broad St,-0.136589075,51.51330218
126,1,Alwick St,-0.135094862,51.51350185,Broad St,-0.136589075,51.51330218
127,2,Alwick St,-0.135264531,51.51346469,Broad St,-0.136589075,51.51330218
128,2,Berwick St,-0.134999996,51.51355167,Broad St,-0.136589075,51.51330218
129,3,Mew St,-0.13574553,51.51318842,Broad St,-0.136589075,51.51330218
130,1,Mew St,-0.135695693,51.51315184,Broad St,-0.136589075,51.51330218
131,2,Mew St,-0.135657291,51.51309981,Broad St,-0.136589075,51.51330218
132,1,Mew St,-0.135571875,51.5129719,Broad St,-0.136589075,51.51330218
133,1,Mew St,-0.135537675,51.51292329,Broad St,-0.136589075,51.51330218
134,1,Mew St,-0.135454828,51.51281539,Broad St,-0.136589075,51.51330218
135,1,Mew St,-0.135773363,51.5132388,Broad St,-0.136589075,51.51330218
136,3,Broad St,-0.13592651,51.51341104,Broad St,-0.136589075,51.51330218
137,3,Broad St,-0.136030908,51.51338068,Broad St,-0.136589075,51.51330218
138,3,Broad St,-0.136127041,51.51335491,Broad St,-0.136589075,51.51330218
139,3,Peter St,-0.134951996,51.51254367,Bridle St,-0.135854793,51.51147816
140,1,Peter St,-0.134695168,51.51250951,Upper Rupert St,-0.133518304,51.5120734
141,2,Peter St,-0.13479837,51.51247942,Upper Rupert St,-0.133518304,51.5120734
142,1,Peter St,-0.134902207,51.51244567,Bridle St,-0.135854793,51.51147816
143,1,Meards Court,-0.133436537,51.51311832,Upper Rupert St,-0.133518304,51.5120734
144,1,Meards Court,-0.133215777,51.51320293,Upper Rupert St,-0.133518304,51.5120734
145,2,Meards Court,-0.133207294,51.51309979,Upper Rupert St,-0.133518304,51.5120734
146,1,Meards St,-0.132860417,51.51320345,Upper Rupert St,-0.133518304,51.5120734
147,1,Wardour St,-0.13389855,51.51350833,Upper Rupert St,-0.133518304,51.5120734
148,1,Wardour St,-0.13393683,51.51358668,Upper Rupert St,-0.133518304,51.5120734
149,2,Wardour St,-0.134125235,51.51359116,Upper Rupert St,-0.133518304,51.5120734
150,2,Wardour St,-0.134055369,51.51349525,Upper Rupert St,-0.133518304,51.5120734
151,1,Wardour St,-0.134214,51.51375585,Upper Rupert St,-0.133518304,51.5120734
152,1,Wardour St,-0.134142213,51.51366765,Upper Rupert St,-0.133518304,51.5120734
153,1,Duck Lane,-0.134628528,51.51364336,Upper Rupert St,-0.133518304,51.5120734
154,1,Duck Lane,-0.13471822,51.51377069,Broad St,-0.136589075,51.51330218
155,1,Edward St,-0.134917952,51.51385124,Broad St,-0.136589075,51.51330218
156,1,Berwick St,-0.13480425,51.5135722,Broad St,-0.136589075,51.51330218
157,1,Edward St,-0.134825576,51.51398986,Broad St,-0.136589075,51.51330218
158,5,Wardour St,-0.134079157,51.51384065,Upper Rupert St,-0.133518304,51.5120734
159,1,Wardour St,-0.134024312,51.51372162,Upper Rupert St,-0.133518304,51.5120734
160,1,Wardour St,-0.134264371,51.51403689,Upper Rupert St,-0.133518304,51.5120734
161,2,Wardour St,-0.134337808,51.51411812,Newman St,-0.134701533,51.51626905
162,2,Wardour St,-0.134368227,51.51417145,Newman St,-0.134701533,51.51626905
163,1,Wardour St,-0.134598804,51.51418421,Newman St,-0.134701533,51.51626905
164,1,St Anns Court,-0.134326622,51.51429064,Newman St,-0.134701533,51.51626905
165,1,St Anns Court,-0.134120727,51.51435153,Newman St,-0.134701533,51.51626905
166,1,St Anns Court,-0.134083367,51.51429128,Newman St,-0.134701533,51.51626905
167,2,St Anns Court,-0.133969575,51.51431214,Newman St,-0.134701533,51.51626905
168,2,St Anns Court,-0.134024266,51.51437525,Newman St,-0.134701533,51.51626905
169,5,St Anns Court,-0.133788228,51.51451698,Newman St,-0.134701533,51.51626905
170,1,St Anns Court,-0.133857286,51.5144595,Newman St,-0.134701533,51.51626905
171,1,St Anns Court,-0.133778809,51.51441227,Newman St,-0.134701533,51.51626905
172,1,St Anns Court,-0.133642215,51.5144596,Newman St,-0.134701533,51.51626905
173,1,St Anns Court,-0.133688226,51.51451016,Newman St,-0.134701533,51.51626905
174,4,St Anns Court,-0.133619647,51.51455628,Newman St,-0.134701533,51.51626905
175,1,St Anns Court,-0.133517665,51.51456125,Newman St,-0.134701533,51.51626905
176,2,St Anns Court,-0.133384169,51.51451866,Newman St,-0.134701533,51.51626905
177,1,St Anns Court,-0.133310516,51.51454308,Newman St,-0.134701533,51.51626905
178,2,Gt Chapel St,-0.134389827,51.51581849,Newman St,-0.134701533,51.51626905
179,1,Wardour St,-0.135178742,51.51516868,Berners St,-0.135897379,51.5160784
180,1,Wardour St,-0.135359419,51.51510058,Berners St,-0.135897379,51.5160784
181,1,Berwick St,-0.135997331,51.51476478,Berners St,-0.135897379,51.5160784
182,3,Noel St,-0.136719383,51.51479008,Broad St,-0.136589075,51.51330218
183,1,Noel St,-0.136511448,51.51485782,Berners St,-0.135897379,51.5160784
184,1,Berwick St,-0.135575166,51.51449233,Broad St,-0.136589075,51.51330218
185,2,Portland St,-0.135484582,51.51470057,Berners St,-0.135897379,51.5160784
186,1,Wardour St,-0.134803697,51.51441746,Newman St,-0.134701533,51.51626905
187,1,Wardour St,-0.134595655,51.51443291,Newman St,-0.134701533,51.51626905
188,1,Little Chapel St,-0.13473864,51.51479059,Newman St,-0.134701533,51.51626905
189,1,Berwick St,-0.135651175,51.51435582,Broad St,-0.136589075,51.51330218
190,1,Berwick St,-0.135428847,51.51433449,Broad St,-0.136589075,51.51330218
191,2,Berwick St,-0.135612656,51.51428968,Broad St,-0.136589075,51.51330218
192,1,Berwick St,-0.135326803,51.51419938,Broad St,-0.136589075,51.51330218
193,1,Berwick St,-0.135508052,51.51418175,Broad St,-0.136589075,51.51330218
194,2,Berwick St,-0.135256858,51.51412016,Broad St,-0.136589075,51.51330218
195,3,Berwick St,-0.135445231,51.51405924,Broad St,-0.136589075,51.51330218
196,2,Portland Mews,-0.136165673,51.5143525,Broad St,-0.136589075,51.51330218
197,1,Portland Mews,-0.136267559,51.5143229,Broad St,-0.136589075,51.51330218
198,1,Portland St,-0.136145482,51.51449755,Broad St,-0.136589075,51.51330218
199,1,Portland St,-0.136046488,51.51452312,Broad St,-0.136589075,51.51330218
200,1,Portland St,-0.135947628,51.51454672,Broad St,-0.136589075,51.51330218
201,1,Portland St,-0.136200408,51.51458721,Broad St,-0.136589075,51.51330218
202,2,Portland St,-0.136355278,51.5145501,Broad St,-0.136589075,51.51330218
203,3,Poland St,-0.136803563,51.51447846,Broad St,-0.136589075,51.51330218
204,3,Poland St,-0.136879574,51.51423003,Broad St,-0.136589075,51.51330218
205,1,Poland St,-0.136692177,51.51427219,Broad St,-0.136589075,51.51330218
206,1,Poland St,-0.136723371,51.51402015,Broad St,-0.136589075,51.51330218
207,3,Poland St,-0.136567452,51.51411915,Broad St,-0.136589075,51.51330218
208,1,Poland St,-0.136664429,51.51392641,Broad St,-0.136589075,51.51330218
209,1,Bentinck St,-0.136045505,51.51402345,Broad St,-0.136589075,51.51330218
210,1,Bentinck St,-0.135880562,51.51407239,Broad St,-0.136589075,51.51330218
211,1,Bentinck St,-0.135804896,51.51409232,Broad St,-0.136589075,51.51330218
212,2,Bentinck St,-0.135744676,51.51412081,Broad St,-0.136589075,51.51330218
213,2,Bentinck St,-0.135756386,51.51398335,Broad St,-0.136589075,51.51330218
214,4,Bentinck St,-0.135898361,51.5139391,Broad St,-0.136589075,51.51330218
215,5,Bentinck St,-0.135994349,51.51390989,Broad St,-0.136589075,51.51330218
216,2,Bentinck St,-0.136093921,51.51389153,Broad St,-0.136589075,51.51330218
217,5,Broad St,-0.135407264,51.51381768,Broad St,-0.136589075,51.51330218
218,5,Berwick St,-0.135372436,51.51395023,Broad St,-0.136589075,51.51330218
219,3,Broad St,-0.135504043,51.51379167,Broad St,-0.136589075,51.51330218
220,3,Broad St,-0.135601251,51.51376318,Broad St,-0.136589075,51.51330218
221,1,Broad St,-0.135749319,51.51369391,Broad St,-0.136589075,51.51330218
222,5,Broad St,-0.135826854,51.51368829,Broad St,-0.136589075,51.51330218
223,4,Broad St,-0.135914415,51.51366917,Broad St,-0.136589075,51.51330218
224,4,Broad St,-0.13613916,51.51359923,Broad St,-0.136589075,51.51330218
225,1,Broad St,-0.136483972,51.51347413,Broad St,-0.136589075,51.51330218
226,4,Broad St,-0.136597435,51.51345493,Broad St,-0.136589075,51.51330218
227,1,Broad St,-0.136685679,51.51341297,Broad St,-0.136589075,51.51330218
228,3,Broad St,-0.136799349,51.51340097,Broad St,-0.136589075,51.51330218
229,2,Broad St,-0.136875336,51.51335603,Broad St,-0.136589075,51.51330218
230,1,Dufours Pl,-0.137176798,51.51335015,Broad St,-0.136589075,51.51330218
231,2,Poland St,-0.136614062,51.51382337,Broad St,-0.136589075,51.51330218
232,1,Poland St,-0.136408557,51.51385322,Broad St,-0.136589075,51.51330218
233,1,Dufours Pl,-0.137324274,51.51353877,Broad St,-0.136589075,51.51330218
234,2,Dufours Pl,-0.137385208,51.51359218,Broad St,-0.136589075,51.51330218
235,3,Dufours Pl,-0.137394686,51.513739,Broad St,-0.136589075,51.51330218
236,1,Marshall St,-0.138199686,51.51388445,Carnaby St,-0.139529412,51.51382806
237,1,Dufours Pl,-0.137285081,51.51376915,Broad St,-0.136589075,51.51330218
238,4,Marshall St,-0.137855462,51.5134801,Broad St,-0.136589075,51.51330218
239,2,Marshall St,-0.138061766,51.51370891,Carnaby St,-0.139529412,51.51382806
240,2,Marshall St,-0.138189924,51.51361332,Carnaby St,-0.139529412,51.51382806
241,1,Marshall St,-0.138225582,51.51367686,Carnaby St,-0.139529412,51.51382806
242,5,Poland St,-0.137977427,51.51406406,Carnaby St,-0.139529412,51.51382806
243,3,Gt Marlborough St,-0.137861804,51.51474783,Marlborough Mews,-0.139642046,51.51486826
244,2,Gt Marlborough St,-0.137663891,51.51478803,Broad St,-0.136589075,51.51330218
245,3,Poland St,-0.137065272,51.51450206,Broad St,-0.136589075,51.51330218
246,2,Poland St,-0.136956831,51.51469151,Broad St,-0.136589075,51.51330218
247,1,Maynard Yards,-0.13839792,51.51225163,Warwick St,-0.138141407,51.51124575
248,1,Upper John St,-0.138062726,51.51195248,Warwick St,-0.138141407,51.51124575
249,2,Golden Sq,-0.137713563,51.5118456,Warwick St,-0.138141407,51.51124575
250,3,Heddon Court,-0.139986314,51.51117531,Vigo St,-0.139514102,51.51011035
251,1,Gt Windwill St,-0.13440577,51.51116247,Tighborne St,-0.133912743,51.5100359
252,1,Gt Crown St,-0.13382964,51.51197331,Upper Rupert St,-0.133518304,51.5120734
253,1,Gt Crown St,-0.133901183,51.51204227,Upper Rupert St,-0.133518304,51.5120734
254,1,Little Pulteney St,-0.133659704,51.51249172,Upper Rupert St,-0.133518304,51.5120734
255,1,Little Pulteney St,-0.133816388,51.51243711,Upper Rupert St,-0.133518304,51.5120734
256,1,George Court,-0.132373827,51.51107073,King St,-0.131546054,51.51230235
257,1,Rupert St,-0.132617571,51.51115968,Upper Rupert St,-0.133518304,51.5120734
258,2,Berwick St,-0.135095119,51.51394265,Broad St,-0.136589075,51.51330218
259,2,Broad St,-0.136286759,51.51330718,Broad St,-0.136589075,51.51330218
260,2,Cambridge St,-0.136339673,51.51325534,Broad St,-0.136589075,51.51330218
261,2,Mew St,-0.135359308,51.5127415,Broad St,-0.136589075,51.51330218
262,1,William and Mary Yard,-0.134855075,51.51206245,Bridle St,-0.135854793,51.51147816
263,2,Pulteney St,-0.135931284,51.51293196,Broad St,-0.136589075,51.51330218
264,2,Pulteney St,-0.135823828,51.51296762,Broad St,-0.136589075,51.51330218
265,1,Marshall St,-0.138082481,51.51346368,Carnaby St,-0.139529412,51.51382806
266,1,Carnaby St,-0.139311492,51.51404652,Carnaby St,-0.139529412,51.51382806
267,1,Noel St,-0.135696572,51.5150204,Berners St,-0.135897379,51.5160784
268,1,Berwick St,-0.135471443,51.51439266,Broad St,-0.136589075,51.51330218
269,1,Broad St,-0.135135519,51.51367413,Broad St,-0.136589075,51.51330218
270,1,Broad St,-0.135219074,51.5136475,Broad St,-0.136589075,51.51330218
271,1,Broad St,-0.135316009,51.51362049,Broad St,-0.136589075,51.51330218
272,2,Coerns Court,-0.13441893,51.51234855,Upper Rupert St,-0.133518304,51.5120734
273,2,Coerns Court,-0.134529032,51.51245381,Upper Rupert St,-0.133518304,51.5120734
274,1,Tylers Court,-0.134106418,51.51323027,Upper Rupert St,-0.133518304,51.5120734
275,1,Hopkins St,-0.135080778,51.51322999,Broad St,-0.136589075,51.51330218
276,1,Hopkins St,-0.135015239,51.51315399,Broad St,-0.136589075,51.51330218
277,1,Heddon Court,-0.139907774,51.51129259,Vigo St,-0.139514102,51.51011035
278,1,Leicester St,-0.139377077,51.51076516,Vigo St,-0.139514102,51.51011035
279,1,South Row,-0.138280993,51.5132508,Carnaby St,-0.139529412,51.51382806
280,1,Broad St,-0.136521849,51.51326193,Broad St,-0.136589075,51.51330218
281,1,Cambridge St,-0.136210849,51.51305573,Broad St,-0.136589075,51.51330218
282,1,Broad St,-0.136206789,51.51333511,Broad St,-0.136589075,51.51330218
283,1,Bridle St,-0.13646187,51.51209373,Bridle St,-0.135854793,51.51147816
284,1,Berwick St,-0.134200815,51.51288809,Upper Rupert St,-0.133518304,51.5120734
285,1,Pulteney Court,-0.134700532,51.51237445,Upper Rupert St,-0.133518304,51.5120734
286,1,Little Pulteney St,-0.134031083,51.51222286,Upper Rupert St,-0.133518304,51.5120734
287,1,Little Pulteney St,-0.134449841,51.51202534,Upper Rupert St,-0.133518304,51.5120734
288,1,Queens Head Court,-0.134498037,51.51179514,Upper Rupert St,-0.133518304,51.5120734
289,1,Little Pulteney St,-0.133659304,51.51238963,Upper Rupert St,-0.133518304,51.5120734
290,1,Peter St,-0.133739224,51.51286527,Upper Rupert St,-0.133518304,51.5120734
291,1,Edward St,-0.13451523,51.51398781,Upper Rupert St,-0.133518304,51.5120734
292,1,St Anns Court,-0.133826547,51.51435905,Newman St,-0.134701533,51.51626905
293,1,Marlborough Mews,-0.139517236,51.51499998,Marlborough Mews,-0.139642046,51.51486826
294,1,Poland St,-0.137137296,51.51493396,Berners St,-0.135897379,51.5160784
295,1,Berwick St,-0.13628151,51.51537814,Berners St,-0.135897379,51.5160784
296,1,Husband St,-0.134861215,51.51281994,Upper Rupert St,-0.133518304,51.5120734
297,1,Rupert St,-0.133321018,51.51169791,Upper Rupert St,-0.133518304,51.5120734
298,2,St Anns Place,-0.134186645,51.51446237,Newman St,-0.134701533,51.51626905
299,2,Berwick St,-0.134278112,51.51298831,Upper Rupert St,-0.133518304,51.5120734
300,1,Hollen St,-0.134942501,51.5154518,Newman St,-0.134701533,51.51626905
301,1,Peter St,-0.134666767,51.51264426,Upper Rupert St,-0.133518304,51.5120734
302,1,Angel Court,-0.134140767,51.51058155,Tighborne St,-0.133912743,51.5100359
303,3,Cambridge St,-0.136132843,51.51301901,Broad St,-0.136589075,51.51330218
304,4,New St,-0.135639355,51.51301116,Broad St,-0.136589075,51.51330218
305,2,Pulteney Court,-0.135747564,51.51299443,Broad St,-0.136589075,51.51330218
306,1,Pulteney Court,-0.135982375,51.51297133,Broad St,-0.136589075,51.51330218
307,1,Pulteney Court,-0.135892628,51.51299674,Broad St,-0.136589075,51.51330218
308,1,Pulteney Court,-0.135819,51.51302241,Broad St,-0.136589075,51.51330218
309,1,Pulteney Court,-0.135731803,51.51305121,Broad St,-0.136589075,51.51330218
310,1,Marlborough Row,-0.138113873,51.51292974,Broad St,-0.136589075,51.51330218
311,2,Marlborough Row,-0.138170579,51.51298935,Carnaby St,-0.139529412,51.51382806
312,1,Cross St,-0.138836876,51.51299155,Carnaby St,-0.139529412,51.51382806
313,1,Cross St,-0.139235575,51.51303646,Carnaby St,-0.139529412,51.51382806
